Ontario Tech University,"Degree Bachelor of Arts (Honours) - Criminology and Justice, Policing in Society","Our program explores and critically analyzes criminological and sociological explanations of why people commit crimes. It also examines how societies define crime and who is considered a criminal. The Criminology and Justice program approaches the study of crime from an interdisciplinary perspective, drawing on a rich tradition from criminology, sociology, philosophy, psychology and law. In addition to examining why crime is committed, you will be encouraged to think about crime, criminal justice and its administration in ways that are consistent with the principles of fairness, equity, peace and justice.
For more information, please visit the Policing in Society web page.
Celebrating 20+ years!
Modern and forwarding-thinking, Ontario Tech University inspires and equips students and graduates to make a positive impact in a tech-focused world.
Guided by its tech with a conscience ethos, Ontario Tech isn’t only focused on developing the next tech breakthrough. The university is committed to understanding and integrating the social and ethical implications and applications of technology to improve peoples’ lives and the planet.
Each undergraduate student can pursue experiential learning opportunities, allowing them to apply their education and skills to the industry, and strengthen their resumé. The university partners with more than 1,100 organizations across a variety of dynamic sectors—health care, manufacturing, information technology, energy, education, professional and technical services and public administration — to offer hands-on learning opportunities that prepare students for their future careers....
",https://universitystudy.ca/program/0
University of Ottawa,PhD in Religious Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/1
University of Ottawa,PhD in Philosophy,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/2
University of Ottawa,PhD in Linguistics,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/3
University of Ottawa,PhD in History,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/4
University of Ottawa,PhD in Geography,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/5
University of Ottawa,PhD in Translation Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/6
University of Ottawa,PhD in Spanish,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/7
University of Ottawa,PhD in English Literature,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/8
University of Ottawa,MA in Classical Studies,"The University of Ottawa is the only bilingual research-intensive university in Canada and the largest bilingual (English-French) university in the world. It welcomes nearly 50,000 students and offers the opportunity to study, work and conduct research in French or English in an environment that is open to Indigenous knowledge and international perspectives.
Located in the heart of Canada’s capital, the University of Ottawa benefits from its immediate proximity to prime democratic institutions, embassies, top research hospitals, national research agencies, a major cultural corridor and a dynamic business environment, all of which support experiential learning, internships and career opportunities....
",https://universitystudy.ca/program/9
